site.number,sample.id,year,month,variable,val,agent.number
17,80817,2008,8,d18O,-6.84,27691
17,80917,2008,9,d18O,-5.58,27691
17,81017,2008,10,d18O,-4.13,27691
17,81117,2008,11,d18O,-3.59,27691
17,81217,2008,12,d18O,-7.12,27691
17,90117,2009,1,d18O,-3.25,27691
17,90217,2009,2,d18O,-8.03,27691
17,90317,2009,3,d18O,-3.19,27691
17,90417,2009,4,d18O,-5.64,27691
17,90517,2009,5,d18O,-6.42,27691
17,90617,2009,6,d18O,-8.55,27691
17,90717,2009,7,d18O,-5.9,27691
17,90817,2009,8,d18O,-6.33,27691
17,90917,2009,9,d18O,-4.26,27691
17,91017,2009,10,d18O,-4.67,27691
18,70818,2007,8,d18O,-4.76,28620
18,70918,2007,9,d18O,-3.27,28620
18,71018,2007,10,d18O,-3.32,28620
18,71118,2007,11,d18O,-2.32,28620
18,71218,2007,12,d18O,-3.14,28620
18,80118,2008,1,d18O,-0.73,28620
18,80218,2008,2,d18O,-3.96,28620
18,80318,2008,3,d18O,-5.02,28620
18,80418,2008,4,d18O,-7.83,28620
18,80518,2008,5,d18O,-5.36,28620
18,80618,2008,6,d18O,-7.41,28620
18,80718,2008,7,d18O,-11.1,28620
18,80818,2008,8,d18O,-6.64,28620
18,80918,2008,9,d18O,-5.48,28620
18,81018,2008,10,d18O,-4.54,28620
18,81118,2008,11,d18O,-4.32,28620
18,81218,2008,12,d18O,-8.86,28620
18,90118,2009,1,d18O,-3.09,28620
18,90218,2009,2,d18O,-9.11,28620
18,90318,2009,3,d18O,-3.2,28620
18,90418,2009,4,d18O,-4.41,28620
18,90618,2009,6,d18O,-6.67,28620
18,90718,2009,7,d18O,-7.2,28620
18,90818,2009,8,d18O,-5.59,28620
18,90918,2009,9,d18O,-4.24,28620
18,91018,2009,10,d18O,-3.86,28620
18,91218,2009,12,d18O,-4.07,28620
19,70819,2007,8,d18O,-5.05,28397
19,70919,2007,9,d18O,-4.39,28397
19,71019,2007,10,d18O,-3.24,28397
19,71119,2007,11,d18O,-1.87,28397
19,71219,2007,12,d18O,-2.98,28397
19,80119,2008,1,d18O,-1.44,28397
19,80219,2008,2,d18O,-2.85,28397
19,80319,2008,3,d18O,-3.93,28397
19,80419,2008,4,d18O,-7.15,28397
19,80519,2008,5,d18O,-9.22,28397
19,80619,2008,6,d18O,-7.78,28397
19,80719,2008,7,d18O,-7.63,28397
19,80819,2008,8,d18O,-6.7,28397
19,80919,2008,9,d18O,-5.93,28397
19,81019,2008,10,d18O,-5.29,28397
19,81219,2008,12,d18O,-5.04,28397
19,90119,2009,1,d18O,-3.13,28397
19,90219,2009,2,d18O,-5.32,28397
19,90319,2009,3,d18O,-2.76,28397
19,90419,2009,4,d18O,-4.54,28397
19,90519,2009,5,d18O,-7.26,28397
19,90619,2009,6,d18O,-7.19,28397
19,90719,2009,7,d18O,-10.49,28397
19,90819,2009,8,d18O,-6.73,28397
19,90919,2009,9,d18O,-4.82,28397
19,91019,2009,10,d18O,-6.39,28397
19,91119,2009,11,d18O,-0.62,28397
19,91219,2009,12,d18O,-3.75,28397
19,X0119,2010,1,d18O,-7.08,28397
20,70820,2007,8,d18O,-5.86,30493
20,70920,2007,9,d18O,-4.66,30493
20,71020,2007,10,d18O,-3.79,30493
20,71120,2007,11,d18O,-1.88,30493
20,71220,2007,12,d18O,-5.18,30493
20,80120,2008,1,d18O,-2.05,30493
20,80220,2008,2,d18O,-3.22,30493
20,80320,2008,3,d18O,-7.91,30493
20,80420,2008,4,d18O,-6.9,30493
20,80520,2008,5,d18O,-9.73,30493
20,80620,2008,6,d18O,-7.99,30493
20,80820,2008,8,d18O,-7.25,30493
20,80920,2008,9,d18O,-7.22,30493
20,81020,2008,10,d18O,-6.06,30493
20,81120,2008,11,d18O,-3.42,30493
20,81220,2008,12,d18O,-6.17,30493
20,90120,2009,1,d18O,-1.61,30493
20,90220,2009,2,d18O,-8.96,30493
20,90320,2009,3,d18O,-2.97,30493
20,90420,2009,4,d18O,-3.83,30493
20,90520,2009,5,d18O,-7.89,30493
20,90620,2009,6,d18O,-10.22,30493
20,90820,2009,8,d18O,-9.37,30493
20,90920,2009,9,d18O,-4.27,30493
20,91020,2009,10,d18O,-6.24,30493
20,91120,2009,11,d18O,-3.34,30493
20,91220,2009,12,d18O,-2.8,30493
20,X0120,2010,1,d18O,-6.95,30493
20,X0220,2010,2,d18O,-2.11,30493
21,70821,2007,8,d18O,-5.8,27943
21,70921,2007,9,d18O,-4.55,27943
21,71021,2007,10,d18O,-4.06,27943
21,71121,2007,11,d18O,-0.87,27943
21,71221,2007,12,d18O,-3.73,27943
21,80121,2008,1,d18O,-2.77,27943
21,80221,2008,2,d18O,-3.8,27943
21,80321,2008,3,d18O,-8.04,27943
21,80421,2008,4,d18O,-7.11,27943
21,80521,2008,5,d18O,-9.18,27943
21,80621,2008,6,d18O,-8.66,27943
21,80721,2008,7,d18O,-7.8,27943
21,80821,2008,8,d18O,-6.98,27943
21,80921,2008,9,d18O,-6.72,27943
21,81021,2008,10,d18O,-7.77,27943
21,81121,2008,11,d18O,-3.83,27943
21,81221,2008,12,d18O,-4.55,27943
21,90121,2009,1,d18O,-2.29,27943
21,90221,2009,2,d18O,-7.39,27943
21,90321,2009,3,d18O,-4.18,27943
21,90421,2009,4,d18O,,27943
21,90521,2009,5,d18O,-8.22,27943
21,90621,2009,6,d18O,-12.51,27943
21,90721,2009,7,d18O,-12.21,27943
21,90821,2009,8,d18O,-7.01,27943
21,90921,2009,9,d18O,-4.34,27943
21,91021,2009,10,d18O,-6.27,27943
21,91121,2009,11,d18O,-2.37,27943
21,91221,2009,12,d18O,-3.75,27943
21,X0121,2010,1,d18O,-7.87,27943
22,70822,2007,8,d18O,-5.8,27582
22,70922,2007,9,d18O,-3.12,27582
22,71022,2007,10,d18O,-3.48,27582
22,71122,2007,11,d18O,-2.29,27582
22,71222,2007,12,d18O,-3.63,27582
22,80122,2008,1,d18O,-3.46,27582
22,80222,2008,2,d18O,-4.76,27582
22,80322,2008,3,d18O,-3.73,27582
22,80422,2008,4,d18O,-8,27582
22,80522,2008,5,d18O,-13.35,27582
22,80622,2008,6,d18O,-6.4,27582
22,80722,2008,7,d18O,-5.73,27582
22,80822,2008,8,d18O,-7.47,27582
22,81022,2008,10,d18O,-4.19,27582
22,81122,2008,11,d18O,-5.02,27582
22,81222,2008,12,d18O,-5.82,27582
22,90122,2009,1,d18O,-5.34,27582
22,90222,2009,2,d18O,-8.5,27582
22,90322,2009,3,d18O,-4.87,27582
22,90422,2009,4,d18O,-3.23,27582
22,90522,2009,5,d18O,-8.31,27582
22,90622,2009,6,d18O,-8.46,27582
22,90722,2009,7,d18O,-6.72,27582
22,90822,2009,8,d18O,-5.59,27582
22,90922,2009,9,d18O,-4.39,27582
22,91022,2009,10,d18O,-5.11,27582
22,91122,2009,11,d18O,-1.48,27582
22,91222,2009,12,d18O,-3.86,27582
23,70823,2007,8,d18O,-6.43,28898
23,70923,2007,9,d18O,-4.29,28898
23,71023,2007,10,d18O,-4.41,28898
23,71123,2007,11,d18O,-2.63,28898
23,71223,2007,12,d18O,-4.99,28898
23,80123,2008,1,d18O,-3.94,28898
23,80223,2008,2,d18O,-3.62,28898
23,80323,2008,3,d18O,-8.28,28898
23,80423,2008,4,d18O,-8.01,28898
23,80523,2008,5,d18O,-11.53,28898
23,80623,2008,6,d18O,-7.28,28898
23,80723,2008,7,d18O,-7.84,28898
23,80823,2008,8,d18O,-9.03,28898
23,80923,2008,9,d18O,-8.15,28898
23,81023,2008,10,d18O,-7.24,28898
23,81123,2008,11,d18O,-4.67,28898
23,81223,2008,12,d18O,-7.2,28898
23,90123,2009,1,d18O,-3.98,28898
23,90223,2009,2,d18O,-8.84,28898
23,90323,2009,3,d18O,-3.79,28898
23,90423,2009,4,d18O,-5.02,28898
23,90523,2009,5,d18O,-8.07,28898
23,90623,2009,6,d18O,-11.09,28898
23,90723,2009,7,d18O,-11.01,28898
23,90823,2009,8,d18O,-5.82,28898
23,90923,2009,9,d18O,-8.05,28898
23,91023,2009,10,d18O,-6.86,28898
23,91123,2009,11,d18O,-2.89,28898
23,91223,2009,12,d18O,-2.85,28898
23,X0123,2010,1,d18O,-6.05,28898
24,70824,2007,8,d18O,-6.36,30113
24,70924,2007,9,d18O,-6.23,30113
24,71024,2007,10,d18O,-5.17,30113
24,71124,2007,11,d18O,-2.37,30113
24,71224,2007,12,d18O,-5.41,30113
24,80124,2008,1,d18O,-3.29,30113
24,80224,2008,2,d18O,-3.63,30113
24,80324,2008,3,d18O,-5.46,30113
24,80424,2008,4,d18O,-5.43,30113
24,80524,2008,5,d18O,-5.32,30113
24,80624,2008,6,d18O,-7.16,30113
24,80724,2008,7,d18O,-8.46,30113
24,80824,2008,8,d18O,-6.04,30113
24,80924,2008,9,d18O,-4.93,30113
24,81024,2008,10,d18O,-6.15,30113
24,81124,2008,11,d18O,-3.14,30113
24,81224,2008,12,d18O,-2.97,30113
24,90124,2009,1,d18O,-2.39,30113
24,90224,2009,2,d18O,-3.71,30113
24,90324,2009,3,d18O,-3.54,30113
24,90424,2009,4,d18O,-3.96,30113
24,90524,2009,5,d18O,-5.94,30113
24,90624,2009,6,d18O,-8.28,30113
24,90724,2009,7,d18O,-9.98,30113
24,90824,2009,8,d18O,-7.59,30113
24,90924,2009,9,d18O,-3.78,30113
24,91024,2009,10,d18O,-6.57,30113
24,91124,2009,11,d18O,-3.27,30113
24,91224,2009,12,d18O,-5.28,30113
25,70825,2007,8,d18O,-7.32,29509
25,70925,2007,9,d18O,-4.98,29509
25,71025,2007,10,d18O,-4.02,29509
25,71125,2007,11,d18O,-1.9,29509
25,71225,2007,12,d18O,-5.38,29509
25,80125,2008,1,d18O,-3.51,29509
25,80225,2008,2,d18O,-4.93,29509
25,80325,2008,3,d18O,-5.82,29509
25,80425,2008,4,d18O,-13.08,29509
25,80525,2008,5,d18O,-8.95,29509
25,80625,2008,6,d18O,-9.83,29509
25,80725,2008,7,d18O,-10.4,29509
25,80825,2008,8,d18O,-7.86,29509
25,80925,2008,9,d18O,-6.44,29509
25,81025,2008,10,d18O,-8.71,29509
25,81125,2008,11,d18O,-2.85,29509
25,81225,2008,12,d18O,-5.27,29509
25,90125,2009,1,d18O,-1.43,29509
25,90225,2009,2,d18O,-5.57,29509
25,90325,2009,3,d18O,-3.48,29509
25,90425,2009,4,d18O,-5.48,29509
25,90525,2009,5,d18O,-4.97,29509
25,90625,2009,6,d18O,-10.77,29509
25,90725,2009,7,d18O,-11.06,29509
25,90825,2009,8,d18O,-11.15,29509
25,90925,2009,9,d18O,-6.6,29509
25,91025,2009,10,d18O,-8.86,29509
25,91125,2009,11,d18O,-4.29,29509
25,91225,2009,12,d18O,-4.94,29509
25,X0125,2010,1,d18O,-4.75,29509
25,X0325,2010,3,d18O,-2.75,29509
